Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Fuel_Type_Decoded,Vehicle_Category,Engine_Cat,Efficiency_Score,CO2_per_Liter,Powertrain,Emission_Class
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338,Premium Gasoline,Other,Large >3.5L,6.802721088435375,2299.3197278911566,8-cyl,Very High >250
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18,354,Premium Gasoline,Other,Large >3.5L,6.4935064935064934,2298.7012987012986,8-cyl,Very High >250
ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359,Premium Gasoline,Compact,Large >3.5L,6.410256410256411,2301.2820512820513,10+ cyl,Very High >250
AUDI,A4,COMPACT,2.0,4,AV8,Z,9.9,7.4,8.8,32,202,Premium Gasoline,Compact,Small <2.0L,11.363636363636363,2295.4545454545455,4-cyl or less,High 200-250
AUDI,A4 QUATTRO,COMPACT,2.0,4,AS8,Z,11.5,8.1,10.0,28,230,Premium Gasoline,Compact,Small <2.0L,10.0,2300.0,4-cyl or less,High 200-250
AUDI,A4 QUATTRO,COMPACT,2.0,4,M6,Z,10.8,7.5,9.3,30,214,Premium Gasoline,Compact,Small <2.0L,10.75268817204301,2301.0752688172042,4-cyl or less,High 200-250
AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AS8,Z,11.5,8.1,10.0,28,230,Premium Gasoline,Compact,Small <2.0L,10.0,2300.0,4-cyl or less,High 200-250
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,AS8,Z,11.5,8.1,10.0,28,230,Premium Gasoline,Compact,Small <2.0L,10.0,2300.0,4-cyl or less,High 200-250
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,M6,Z,10.8,7.5,9.3,30,214,Premium Gasoline,Compact,Small <2.0L,10.75268817204301,2301.0752688172042,4-cyl or less,High 200-250
AUDI,A6 QUATTRO,MID-SIZE,2.0,4,AS8,Z,12.0,8.1,10.2,28,235,Premium Gasoline,Sedan,Small <2.0L,9.803921568627452,2303.921568627451,4-cyl or less,High 200-250
AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS8,Z,12.8,8.6,10.9,26,251,Premium Gasoline,Sedan,Medium 2.0-3.5L,9.174311926605505,2302.7522935779816,6-cyl,Very High >250
AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,D,9.8,6.2,8.1,35,217,Diesel,Sedan,Medium 2.0-3.5L,12.345679012345679,2679.0123456790125,6-cyl,High 200-250
AUDI,A7 QUATTRO,MID-SIZE,3.0,6,AS8,Z,13.3,8.5,11.2,25,262,Premium Gasoline,Sedan,Medium 2.0-3.5L,8.928571428571429,2339.2857142857147,6-cyl,Very High >250
AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,D,9.8,6.2,8.1,35,217,Diesel,Sedan,Medium 2.0-3.5L,12.345679012345679,2679.0123456790125,6-cyl,High 200-250
AUDI,A8,MID-SIZE,3.0,6,AS8,Z,13.1,8.8,11.2,25,258,Premium Gasoline,Sedan,Medium 2.0-3.5L,8.928571428571429,2303.571428571429,6-cyl,Very High >250
AUDI,A8,MID-SIZE,4.0,8,AS8,Z,13.7,8.3,11.3,25,265,Premium Gasoline,Sedan,Large >3.5L,8.849557522123893,2345.1327433628317,8-cyl,Very High >250
AUDI,A8 TDI (modified),MID-SIZE,3.0,6,AS8,D,9.8,6.5,8.4,34,224,Diesel,Sedan,Medium 2.0-3.5L,11.904761904761905,2666.6666666666665,6-cyl,High 200-250
AUDI,A8L,FULL-SIZE,3.0,6,AS8,Z,13.1,8.8,11.2,25,258,Premium Gasoline,Sedan,Medium 2.0-3.5L,8.928571428571429,2303.571428571429,6-cyl,Very High >250
AUDI,A8L,FULL-SIZE,4.0,8,AS8,Z,14.7,9.7,12.5,23,288,Premium Gasoline,Sedan,Large >3.5L,8.0,2304.0,8-cyl,Very High >250
AUDI,A8L,FULL-SIZE,6.3,12,AS8,Z,18.7,11.5,15.5,18,363,Premium Gasoline,Sedan,Large >3.5L,6.451612903225806,2341.935483870968,10+ cyl,Very High >250
AUDI,A8L TDI (modified),FULL-SIZE,3.0,6,AS8,D,9.8,6.5,8.4,34,224,Diesel,Sedan,Medium 2.0-3.5L,11.904761904761905,2666.6666666666665,6-cyl,High 200-250
AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4,AS8,Z,11.8,8.8,10.5,27,242,Premium Gasoline,Wagon,Small <2.0L,9.523809523809524,2304.7619047619046,4-cyl or less,High 200-250
AUDI,Q5,SUV - SMALL,2.0,4,AS8,Z,12.0,8.5,10.4,27,239,Premium Gasoline,SUV,Small <2.0L,9.615384615384615,2298.076923076923,4-cyl or less,High 200-250
AUDI,Q5,SUV - SMALL,3.0,6,AS8,Z,12.9,9.2,11.2,25,258,Premium Gasoline,SUV,Medium 2.0-3.5L,8.928571428571429,2303.571428571429,6-cyl,Very High >250
AUDI,Q5 TDI (modified),SUV - SMALL,3.0,6,AS8,D,10.2,7.8,9.0,31,244,Diesel,SUV,Medium 2.0-3.5L,11.11111111111111,2711.111111111111,6-cyl,High 200-250
AUDI,Q5 HYBRID,SUV - SMALL,2.0,4,AS8,Z,9.9,8.3,9.2,31,212,Premium Gasoline,SUV,Small <2.0L,10.869565217391305,2304.3478260869565,4-cyl or less,High 200-250
AUDI,Q7,SUV - STANDARD,3.0,6,AS8,Z,15.1,10.9,13.2,21,304,Premium Gasoline,SUV,Medium 2.0-3.5L,7.575757575757576,2303.030303030303,6-cyl,Very High >250
AUDI,Q7 TDI (modified),SUV - STANDARD,3.0,6,AS8,D,12.4,8.7,10.7,26,290,Diesel,SUV,Medium 2.0-3.5L,9.345794392523365,2710.280373831776,6-cyl,Very High >250
AUDI,R8,TWO-SEATER,4.2,8,A7,Z,17.6,11.0,14.6,19,336,Premium Gasoline,Other,Large >3.5L,6.8493150684931505,2301.3698630136987,8-cyl,Very High >250
AUDI,R8,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407,Premium Gasoline,Other,Large >3.5L,5.649717514124294,2299.4350282485875,8-cyl,Very High >250
AUDI,R8,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,19,347,Premium Gasoline,Other,Large >3.5L,6.756756756756756,2344.5945945945946,10+ cyl,Very High >250
AUDI,R8,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409,Premium Gasoline,Other,Large >3.5L,5.617977528089887,2297.7528089887637,10+ cyl,Very High >250
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A7,Z,17.6,11.0,14.6,19,336,Premium Gasoline,Other,Large >3.5L,6.8493150684931505,2301.3698630136987,8-cyl,Very High >250
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407,Premium Gasoline,Other,Large >3.5L,5.649717514124294,2299.4350282485875,8-cyl,Very High >250
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,19,347,Premium Gasoline,Other,Large >3.5L,6.756756756756756,2344.5945945945946,10+ cyl,Very High >250
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409,Premium Gasoline,Other,Large >3.5L,5.617977528089887,2297.7528089887637,10+ cyl,Very High >250
AUDI,RS 5,SUBCOMPACT,4.2,8,A7,Z,15.3,10.9,13.3,21,306,Premium Gasoline,Compact,Large >3.5L,7.518796992481203,2300.7518796992476,8-cyl,Very High >250
AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,A7,Z,15.2,11.3,13.4,21,308,Premium Gasoline,Compact,Large >3.5L,7.462686567164179,2298.507462686567,8-cyl,Very High >250
AUDI,RS 7,MID-SIZE,4.0,8,AS8,Z,15.5,8.8,12.5,23,293,Premium Gasoline,Sedan,Large >3.5L,8.0,2344.0,8-cyl,Very High >250
AUDI,S4,COMPACT,3.0,6,A7,Z,13.2,9.2,11.4,25,262,Premium Gasoline,Compact,Medium 2.0-3.5L,8.771929824561402,2298.245614035088,6-cyl,Very High >250
AUDI,S4,COMPACT,3.0,6,M6,Z,14.6,9.8,12.4,23,285,Premium Gasoline,Compact,Medium 2.0-3.5L,8.064516129032258,2298.3870967741937,6-cyl,Very High >250
AUDI,S5,SUBCOMPACT,3.0,6,A7,Z,13.2,9.2,11.4,25,262,Premium Gasoline,Compact,Medium 2.0-3.5L,8.771929824561402,2298.245614035088,6-cyl,Very High >250
AUDI,S5,SUBCOMPACT,3.0,6,M6,Z,14.6,9.8,12.4,23,285,Premium Gasoline,Compact,Medium 2.0-3.5L,8.064516129032258,2298.3870967741937,6-cyl,Very High >250
AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6,A7,Z,13.3,9.5,11.6,24,267,Premium Gasoline,Compact,Medium 2.0-3.5L,8.620689655172415,2301.7241379310344,6-cyl,Very High >250
AUDI,S6,MID-SIZE,4.0,8,A7,Z,14.2,9.7,12.2,23,281,Premium Gasoline,Sedan,Large >3.5L,8.196721311475411,2303.27868852459,8-cyl,Very High >250
AUDI,S7,MID-SIZE,4.0,8,A7,Z,14.2,9.7,12.2,23,281,Premium Gasoline,Sedan,Large >3.5L,8.196721311475411,2303.27868852459,8-cyl,Very High >250
AUDI,S8,MID-SIZE,4.0,8,AS8,Z,15.8,9.2,12.8,22,300,Premium Gasoline,Sedan,Large >3.5L,7.8125,2343.75,8-cyl,Very High >250
AUDI,SQ5,SUV - SMALL,3.0,6,AS8,Z,14.9,10.1,12.7,22,292,Premium Gasoline,SUV,Medium 2.0-3.5L,7.874015748031496,2299.212598425197,6-cyl,Very High >250
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,A6,Z,10.4,7.6,9.1,31,209,Premium Gasoline,Compact,Small <2.0L,10.989010989010989,2296.703296703297,4-cyl or less,High 200-250
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Z,10.4,7.6,9.1,31,209,Premium Gasoline,Other,Small <2.0L,10.989010989010989,2296.703296703297,4-cyl or less,High 200-250
AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4,A6,Z,11.5,8.8,10.3,27,237,Premium Gasoline,Compact,Small <2.0L,9.70873786407767,2300.9708737864075,4-cyl or less,High 200-250
AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Z,11.5,8.8,10.3,27,237,Premium Gasoline,Other,Small <2.0L,9.70873786407767,2300.9708737864075,4-cyl or less,High 200-250
BENTLEY,CONTINENTAL GT,SUBCOMPACT,4.0,8,AS8,Z,16.3,9.8,13.4,21,314,Premium Gasoline,Compact,Large >3.5L,7.462686567164179,2343.2835820895525,8-cyl,Very High >250
BENTLEY,CONTINENTAL GT,SUBCOMPACT,6.0,12,AS8,Z,18.8,11.5,15.5,18,356,Premium Gasoline,Compact,Large >3.5L,6.451612903225806,2296.7741935483873,10+ cyl,Very High >250
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4.0,8,AS8,Z,17.4,10.2,14.2,20,332,Premium Gasoline,Compact,Large >3.5L,7.042253521126761,2338.0281690140846,8-cyl,Very High >250
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6.0,12,AS8,Z,20.0,12.2,16.5,17,380,Premium Gasoline,Compact,Large >3.5L,6.0606060606060606,2303.030303030303,10+ cyl,Very High >250
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6.0,12,AS8,Z,20.0,12.2,16.5,17,380,Premium Gasoline,Compact,Large >3.5L,6.0606060606060606,2303.030303030303,10+ cyl,Very High >250
BENTLEY,FLYING SPUR,MID-SIZE,6.0,12,AS8,Z,20.3,11.9,16.5,17,388,Premium Gasoline,Sedan,Large >3.5L,6.0606060606060606,2351.5151515151515,10+ cyl,Very High >250
BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,22.3,14.9,19.0,15,437,Premium Gasoline,Sedan,Large >3.5L,5.2631578947368425,2300.0,8-cyl,Very High >250
BMW,320i,COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,34,193,Premium Gasoline,Compact,Small <2.0L,11.904761904761905,2297.6190476190473,4-cyl or less,Medium 150-200
BMW,320i,COMPACT,2.0,4,M6,Z,10.4,6.7,8.7,32,200,Premium Gasoline,Compact,Small <2.0L,11.49425287356322,2298.8505747126437,4-cyl or less,Medium 150-200
BMW,320i xDRIVE,COMPACT,2.0,4,A8,Z,10.2,7.0,8.8,32,202,Premium Gasoline,Compact,Small <2.0L,11.363636363636363,2295.4545454545455,4-cyl or less,High 200-250
BMW,328d xDRIVE,COMPACT,2.0,4,A8,D,7.6,5.5,6.7,42,181,Diesel,Compact,Small <2.0L,14.925373134328359,2701.492537313433,4-cyl or less,Medium 150-200
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A8,D,7.6,5.5,6.7,42,181,Diesel,Wagon,Small <2.0L,14.925373134328359,2701.492537313433,4-cyl or less,Medium 150-200
BMW,328i,COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,34,193,Premium Gasoline,Compact,Small <2.0L,11.904761904761905,2297.6190476190473,4-cyl or less,Medium 150-200
BMW,328i,COMPACT,2.0,4,M6,Z,10.4,6.7,8.7,32,200,Premium Gasoline,Compact,Small <2.0L,11.49425287356322,2298.8505747126437,4-cyl or less,Medium 150-200
BMW,328i xDRIVE,COMPACT,2.0,4,A8,Z,10.6,7.2,9.1,31,209,Premium Gasoline,Compact,Small <2.0L,10.989010989010989,2296.703296703297,4-cyl or less,High 200-250
BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4,A8,Z,10.6,7.2,9.1,31,209,Premium Gasoline,Sedan,Small <2.0L,10.989010989010989,2296.703296703297,4-cyl or less,High 200-250
BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A8,Z,10.6,7.2,9.1,31,209,Premium Gasoline,Wagon,Small <2.0L,10.989010989010989,2296.703296703297,4-cyl or less,High 200-250
BMW,335i,COMPACT,3.0,6,A8,Z,11.4,7.3,9.6,29,221,Premium Gasoline,Compact,Medium 2.0-3.5L,10.416666666666668,2302.0833333333335,6-cyl,High 200-250
BMW,335i,COMPACT,3.0,6,M6,Z,11.8,7.9,10.0,28,230,Premium Gasoline,Compact,Medium 2.0-3.5L,10.0,2300.0,6-cyl,High 200-250
BMW,335i xDRIVE,COMPACT,3.0,6,A8,Z,11.7,7.8,9.9,29,228,Premium Gasoline,Compact,Medium 2.0-3.5L,10.1010101010101,2303.030303030303,6-cyl,High 200-250
BMW,335i xDRIVE,COMPACT,3.0,6,M6,Z,11.9,8.3,10.3,27,237,Premium Gasoline,Compact,Medium 2.0-3.5L,9.70873786407767,2300.9708737864075,6-cyl,High 200-250
BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Z,11.9,8.0,10.1,28,232,Premium Gasoline,Sedan,Medium 2.0-3.5L,9.900990099009901,2297.029702970297,6-cyl,High 200-250
BMW,428i COUPE,COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,34,193,Premium Gasoline,Compact,Small <2.0L,11.904761904761905,2297.6190476190473,4-cyl or less,Medium 150-200
BMW,428i COUPE,COMPACT,2.0,4,M6,Z,10.4,6.7,8.7,32,200,Premium Gasoline,Compact,Small <2.0L,11.49425287356322,2298.8505747126437,4-cyl or less,Medium 150-200
BMW,428i xDRIVE COUPE,COMPACT,2.0,4,A8,Z,10.6,7.2,9.1,31,209,Premium Gasoline,Compact,Small <2.0L,10.989010989010989,2296.703296703297,4-cyl or less,High 200-250
BMW,435i COUPE,COMPACT,3.0,6,A8,Z,11.4,7.3,9.6,29,221,Premium Gasoline,Compact,Medium 2.0-3.5L,10.416666666666668,2302.0833333333335,6-cyl,High 200-250
BMW,435i COUPE,COMPACT,3.0,6,M6,Z,11.8,7.9,10.0,28,230,Premium Gasoline,Compact,Medium 2.0-3.5L,10.0,2300.0,6-cyl,High 200-250
BMW,435i xDRIVE COUPE,COMPACT,3.0,6,A8,Z,11.7,7.8,9.9,29,228,Premium Gasoline,Compact,Medium 2.0-3.5L,10.1010101010101,2303.030303030303,6-cyl,High 200-250
BMW,435i xDRIVE COUPE,COMPACT,3.0,6,M6,Z,11.9,8.3,10.3,27,237,Premium Gasoline,Compact,Medium 2.0-3.5L,9.70873786407767,2300.9708737864075,6-cyl,High 200-250
BMW,528i,MID-SIZE,2.0,4,A8,Z,10.2,7.0,8.8,32,202,Premium Gasoline,Sedan,Small <2.0L,11.363636363636363,2295.4545454545455,4-cyl or less,High 200-250
BMW,528i xDRIVE,MID-SIZE,2.0,4,A8,Z,10.6,7.2,9.1,31,209,Premium Gasoline,Sedan,Small <2.0L,10.989010989010989,2296.703296703297,4-cyl or less,High 200-250
BMW,535d xDRIVE,MID-SIZE,3.0,6,A8,D,9.2,6.4,7.9,36,213,Diesel,Sedan,Medium 2.0-3.5L,12.658227848101266,2696.2025316455693,6-cyl,High 200-250
BMW,535i xDRIVE,MID-SIZE,3.0,6,A8,Z,11.9,8.0,10.1,28,232,Premium Gasoline,Sedan,Medium 2.0-3.5L,9.900990099009901,2297.029702970297,6-cyl,High 200-250
BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Z,12.5,8.6,10.7,26,246,Premium Gasoline,Sedan,Medium 2.0-3.5L,9.345794392523365,2299.0654205607475,6-cyl,High 200-250
BMW,550i xDRIVE,MID-SIZE,4.4,8,A8,Z,14.4,9.6,12.2,23,281,Premium Gasoline,Sedan,Large >3.5L,8.196721311475411,2303.27868852459,8-cyl,Very High >250
BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,Premium Gasoline,Sedan,Large >3.5L,7.874015748031496,2299.212598425197,8-cyl,Very High >250
BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,A8,Z,11.9,8.0,10.1,28,232,Premium Gasoline,Compact,Medium 2.0-3.5L,9.900990099009901,2297.029702970297,6-cyl,High 200-250
BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A8,Z,15.0,9.8,12.7,22,292,Premium Gasoline,Compact,Large >3.5L,7.874015748031496,2299.212598425197,8-cyl,Very High >250
BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A8,Z,14.4,9.6,12.2,23,281,Premium Gasoline,Compact,Large >3.5L,8.196721311475411,2303.27868852459,8-cyl,Very High >250
BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A8,Z,15.0,9.8,12.7,22,292,Premium Gasoline,Compact,Large >3.5L,7.874015748031496,2299.212598425197,8-cyl,Very High >250
BMW,740Li xDRIVE,FULL-SIZE,3.0,6,A8,Z,12.5,8.6,10.7,26,246,Premium Gasoline,Sedan,Medium 2.0-3.5L,9.345794392523365,2299.0654205607475,6-cyl,High 200-250
BMW,750i xDRIVE,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,Premium Gasoline,Sedan,Large >3.5L,7.874015748031496,2299.212598425197,8-cyl,Very High >250
BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,Premium Gasoline,Sedan,Large >3.5L,7.874015748031496,2299.212598425197,8-cyl,Very High >250
BMW,760Li,FULL-SIZE,6.0,12,A8,Z,18.7,11.5,15.5,18,356,Premium Gasoline,Sedan,Large >3.5L,6.451612903225806,2296.7741935483873,10+ cyl,Very High >250
BMW,ACTIVEHYBRID 3,COMPACT,3.0,6,A8,Z,9.2,7.1,8.3,34,191,Premium Gasoline,Compact,Medium 2.0-3.5L,12.048192771084336,2301.204819277108,6-cyl,Medium 150-200
BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6,A8,Z,10.5,7.9,9.3,30,214,Premium Gasoline,Sedan,Medium 2.0-3.5L,10.75268817204301,2301.0752688172042,6-cyl,High 200-250
BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6,A8,Z,10.5,7.6,9.2,31,212,Premium Gasoline,Sedan,Medium 2.0-3.5L,10.869565217391305,2304.3478260869565,6-cyl,High 200-250
BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,Premium Gasoline,Sedan,Large >3.5L,7.874015748031496,2299.212598425197,8-cyl,Very High >250
BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,Premium Gasoline,Sedan,Large >3.5L,7.874015748031496,2299.212598425197,8-cyl,Very High >250
BMW,M5,MID-SIZE,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,Premium Gasoline,Sedan,Large >3.5L,6.802721088435375,2299.3197278911566,8-cyl,Very High >250
BMW,M5,MID-SIZE,4.4,8,M6,Z,16.2,10.9,13.8,20,317,Premium Gasoline,Sedan,Large >3.5L,7.246376811594202,2297.101449275362,8-cyl,Very High >250
BMW,M6,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,Premium Gasoline,Compact,Large >3.5L,6.802721088435375,2299.3197278911566,8-cyl,Very High >250
BMW,M6,COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317,Premium Gasoline,Compact,Large >3.5L,7.246376811594202,2297.101449275362,8-cyl,Very High >250
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,Premium Gasoline,Compact,Large >3.5L,6.802721088435375,2299.3197278911566,8-cyl,Very High >250
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317,Premium Gasoline,Compact,Large >3.5L,7.246376811594202,2297.101449275362,8-cyl,Very High >250
BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,Premium Gasoline,Compact,Large >3.5L,6.802721088435375,2299.3197278911566,8-cyl,Very High >250
BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317,Premium Gasoline,Compact,Large >3.5L,7.246376811594202,2297.101449275362,8-cyl,Very High >250
BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4,A8,Z,10.6,7.2,9.1,31,209,Premium Gasoline,SUV,Small <2.0L,10.989010989010989,2296.703296703297,4-cyl or less,High 200-250
BMW,X1 xDRIVE35i,SUV - SMALL,3.0,6,A6,Z,13.2,8.9,11.3,25,260,Premium Gasoline,SUV,Medium 2.0-3.5L,8.849557522123893,2300.884955752212,6-cyl,Very High >250
BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4,A8,Z,11.2,8.5,10.0,28,230,Premium Gasoline,SUV,Small <2.0L,10.0,2300.0,4-cyl or less,High 200-250
BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6,A8,Z,12.6,9.1,11.0,26,253,Premium Gasoline,SUV,Medium 2.0-3.5L,9.090909090909092,2300.0,6-cyl,Very High >250
BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6,A8,Z,12.9,8.8,11.1,25,255,Premium Gasoline,SUV,Medium 2.0-3.5L,9.00900900900901,2297.2972972972975,6-cyl,Very High >250
BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,16.3,10.9,13.9,20,320,Premium Gasoline,SUV,Large >3.5L,7.194244604316546,2302.1582733812947,8-cyl,Very High >250
BMW,X6 M,SUV - STANDARD,4.4,8,A6,Z,18.1,13.7,16.1,18,370,Premium Gasoline,SUV,Large >3.5L,6.211180124223602,2298.136645962733,8-cyl,Very High >250
